word,POS,wordCount-Chat,percent_of_total-Chat,POS-Chat,wordCount_y,percent_of_total_y,POS-Human,wordCount-Human,percent_of_total-Human
todo,ADJ,2,0.2063983488132094,ADJ,1.0,0.2840909090909091,ADJ,1.0,0.1620745542949757
wave,NOUN,2,0.2063983488132094,NOUN,2.0,0.5681818181818182,,,
wallmounted,ADJ,2,0.2063983488132094,ADJ,2.0,0.5681818181818182,,,
button,NOUN,2,0.2063983488132094,NOUN,2.0,0.5681818181818182,,,
thing,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
therapy,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
bottle,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
certain,ADJ,2,0.2063983488132094,ADJ,1.0,0.2840909090909091,ADJ,1.0,0.1620745542949757
use,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
temperature,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
bus,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
sync,NOUN,2,0.2063983488132094,NOUN,2.0,0.5681818181818182,,,
content,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
cushion,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
current,ADJ,2,0.2063983488132094,ADJ,2.0,0.5681818181818182,,,
disruption,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
cup,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
adjustment,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
travel,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
study,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
amount,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
trivia,ADJ,2,0.2063983488132094,,,,ADJ,2.0,0.3241491085899514
area,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
whiteboard,NOUN,2,0.2063983488132094,NOUN,1.0,0.2840909090909091,NOUN,1.0,0.1620745542949757
alert,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
tui,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
coffee,NOUN,2,0.2063983488132094,,,,NOUN,2.0,0.3241491085899514
vapor,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
real,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
variety,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
realistic,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
transportation,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
reading,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
unit,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
trip,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
reader,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
tray,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
proximity,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
upper,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
unreliablenonexistent,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
unobtrusive,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
rain,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
vehicle,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
unnecessary,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
uniterrupted,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
spray,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
printer,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
proper,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
vibe,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
pet,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
wristsfinger,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
workspace,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
working,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
phonelaptop,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
wood,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
physical,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
picture,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
wind,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
width,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
planner,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
planning,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
white,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
well,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
weight,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
pleasing,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
wearer,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
wayalway,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
pocket,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
pomodoro,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
walk,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
voice,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
vital,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
visual,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
preference,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
videoaudio,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
realtime,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
video,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
vibration,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
reality,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
regular,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
transit,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
shape,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
simple,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
similar,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
silencer,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
subtle,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
sign,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
side,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
shakey,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
recognition,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
sunlight,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
sunlightcoffeeshopcheerful,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
support,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
setup,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
supportive,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
sure,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
skin,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
slider,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
strength,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
small,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
