vector,word,Maxpos,wordCount,percent_of_total
67,hour,NOUN,2,11.11111111111111
67,light,NOUN,2,11.11111111111111
67,lighting,NOUN,1,5.555555555555555
67,machine,NOUN,1,5.555555555555555
67,natural,ADJ,1,5.555555555555555
67,people,NOUN,1,5.555555555555555
67,person,NOUN,1,5.555555555555555
67,room,NOUN,1,5.555555555555555
67,setup,NOUN,1,5.555555555555555
67,sunlight,NOUN,1,5.555555555555555
67,time,NOUN,1,5.555555555555555
67,user,NOUN,1,5.555555555555555
76,audio,ADJ,1,11.11111111111111
76,device,NOUN,1,11.11111111111111
76,habit,NOUN,1,11.11111111111111
76,interval,NOUN,1,11.11111111111111
76,min,NOUN,1,11.11111111111111
76,notification,NOUN,1,11.11111111111111
76,phone,NOUN,1,11.11111111111111
76,regular,ADJ,1,11.11111111111111
76,user,NOUN,1,11.11111111111111
77,aware,ADJ,1,10.0
77,danger,NOUN,1,10.0
77,environment,NOUN,1,10.0
77,glassesheadset,NOUN,1,10.0
77,mobile,ADJ,1,10.0
77,peripheral,NOUN,1,10.0
77,signal,NOUN,1,10.0
77,surrounding,NOUN,1,10.0
77,user,NOUN,1,10.0
77,work,NOUN,1,10.0
78,interface,NOUN,1,14.285714285714285
78,microtask,NOUN,1,14.285714285714285
78,piece,NOUN,1,14.285714285714285
78,planner,NOUN,1,14.285714285714285
78,tangible,ADJ,1,14.285714285714285
78,task,NOUN,1,14.285714285714285
78,user,NOUN,1,14.285714285714285
79,collapsible,ADJ,1,11.11111111111111
79,commuter,NOUN,1,11.11111111111111
79,desk,NOUN,1,11.11111111111111
79,lap,NOUN,1,11.11111111111111
79,mobile,ADJ,1,11.11111111111111
79,organization,NOUN,1,11.11111111111111
79,planning,NOUN,1,11.11111111111111
79,techfunctionality,NOUN,1,11.11111111111111
79,trainsubway,NOUN,1,11.11111111111111
80,change,NOUN,1,20.0
80,indooroutdoor,NOUN,1,20.0
80,jacketsweater,NOUN,1,20.0
80,temperature,NOUN,1,20.0
80,type,NOUN,1,20.0
81,anxiety,NOUN,1,20.0
81,heart,NOUN,1,20.0
81,monitor,NOUN,1,20.0
81,rate,NOUN,1,20.0
81,relief,NOUN,1,20.0
82,app,NOUN,2,13.333333333333334
82,check,NOUN,1,6.666666666666667
82,exercise,NOUN,1,6.666666666666667
82,heart,NOUN,2,13.333333333333334
82,high,ADJ,1,6.666666666666667
82,interface,NOUN,1,6.666666666666667
82,level,NOUN,1,6.666666666666667
82,rate,NOUN,2,13.333333333333334
82,routine,ADJ,1,6.666666666666667
82,set,ADJ,1,6.666666666666667
