word,Maxpos,wordCount,percent_of_total
vibration,NOUN,1,0.2840909090909091
todo,ADJ,1,0.2840909090909091
top,NOUN,1,0.2840909090909091
track,NOUN,1,0.2840909090909091
travel,NOUN,1,0.2840909090909091
use,NOUN,1,0.2840909090909091
type,NOUN,1,0.2840909090909091
sure,ADJ,1,0.2840909090909091
supportive,ADJ,1,0.2840909090909091
session,NOUN,1,0.2840909090909091
slider,NOUN,1,0.2840909090909091
shape,NOUN,1,0.2840909090909091
well,ADJ,1,0.2840909090909091
sign,NOUN,1,0.2840909090909091
unit,NOUN,1,0.2840909090909091
skin,NOUN,1,0.2840909090909091
sleep,NOUN,1,0.2840909090909091
small,ADJ,1,0.2840909090909091
such,ADJ,1,0.2840909090909091
smooth,ADJ,1,0.2840909090909091
software,NOUN,1,0.2840909090909091
solution,NOUN,1,0.2840909090909091
speaker,NOUN,1,0.2840909090909091
stay,NOUN,1,0.2840909090909091
subtle,ADJ,1,0.2840909090909091
space,NOUN,1,0.2840909090909091
ability,NOUN,1,0.2840909090909091
perfect,ADJ,1,0.2840909090909091
daytoday,NOUN,1,0.2840909090909091
commute,NOUN,1,0.2840909090909091
conductance,NOUN,1,0.2840909090909091
cool,ADJ,1,0.2840909090909091
cozy,ADJ,1,0.2840909090909091
cushion,NOUN,1,0.2840909090909091
cycle,NOUN,1,0.2840909090909091
cylindrical,ADJ,1,0.2840909090909091
daylight,NOUN,1,0.2840909090909091
deep,ADJ,1,0.2840909090909091
combination,NOUN,1,0.2840909090909091
design,NOUN,1,0.2840909090909091
dial,NOUN,1,0.2840909090909091
diameter,NOUN,1,0.2840909090909091
different,ADJ,1,0.2840909090909091
durable,ADJ,1,0.2840909090909091
duration,NOUN,1,0.2840909090909091
ergonomic,ADJ,1,0.2840909090909091
fabric,NOUN,1,0.2840909090909091
comfort,NOUN,1,0.2840909090909091
collaborative,ADJ,1,0.2840909090909091
feeling,NOUN,1,0.2840909090909091
base,NOUN,1,0.2840909090909091
adjustment,NOUN,1,0.2840909090909091
advice,NOUN,1,0.2840909090909091
ambient,ADJ,1,0.2840909090909091
amount,NOUN,1,0.2840909090909091
app,NOUN,1,0.2840909090909091
atmosphere,NOUN,1,0.2840909090909091
augmented,ADJ,1,0.2840909090909091
bad,ADJ,1,0.2840909090909091
body,NOUN,1,0.2840909090909091
coffeeshop,NOUN,1,0.2840909090909091
box,NOUN,1,0.2840909090909091
brainstorming,NOUN,1,0.2840909090909091
breathable,ADJ,1,0.2840909090909091
bright,ADJ,1,0.2840909090909091
cafe,NOUN,1,0.2840909090909091
calming,ADJ,1,0.2840909090909091
certain,ADJ,1,0.2840909090909091
changing,NOUN,1,0.2840909090909091
facial,ADJ,1,0.2840909090909091
finish,NOUN,1,0.2840909090909091
paper,NOUN,1,0.2840909090909091
mode,NOUN,1,0.2840909090909091
location,NOUN,1,0.2840909090909091
long,ADJ,1,0.2840909090909091
low,ADJ,1,0.2840909090909091
machine,NOUN,1,0.2840909090909091
mask,NOUN,1,0.2840909090909091
meditation,NOUN,1,0.2840909090909091
metal,NOUN,1,0.2840909090909091
mobile,ADJ,1,0.2840909090909091
monitor,NOUN,1,0.2840909090909091
length,NOUN,1,0.2840909090909091
multitouch,ADJ,1,0.2840909090909091
muscle,NOUN,1,0.2840909090909091
music,NOUN,1,0.2840909090909091
access,NOUN,1,0.2840909090909091
notification,NOUN,1,0.2840909090909091
one,NOUN,1,0.2840909090909091
pair,NOUN,1,0.2840909090909091
panel,NOUN,1,0.2840909090909091
list,NOUN,1,0.2840909090909091
led,NOUN,1,0.2840909090909091
flat,ADJ,1,0.2840909090909091
goal,NOUN,1,0.2840909090909091
foam,NOUN,1,0.2840909090909091
focused,ADJ,1,0.2840909090909091
forearm,ADJ,1,0.2840909090909091
front,ADJ,1,0.2840909090909091
gentle,ADJ,1,0.2840909090909091
gesture,NOUN,1,0.2840909090909091
glass,NOUN,1,0.2840909090909091
glossy,ADJ,1,0.2840909090909091
hand,NOUN,1,0.2840909090909091
laptop,NOUN,1,0.2840909090909091
haptic,ADJ,1,0.2840909090909091
heart,NOUN,1,0.2840909090909091
height,NOUN,1,0.2840909090909091
help,NOUN,1,0.2840909090909091
interface,NOUN,1,0.2840909090909091
jazz,NOUN,1,0.2840909090909091
knob,NOUN,1,0.2840909090909091
lamp,NOUN,1,0.2840909090909091
yelloworange,NOUN,1,0.2840909090909091
